random_id,motivacion,conectado,sexojefe,edadjefe,jefesabeleer,jefesabeescribir,pdiasfueaescuela
515,0,0,1,51,1,1,71.428574
516,0,0,2,76,0,0,
517,1,1,1,32,1,1,
520,0,0,2,33,1,0,
522,0,0,1,36,1,1,
524,0,0,1,33,1,1,
526,0,0,1,46,0,0,
527,1,1,1,74,1,1,
528,1,1,1,54,1,1,
529,1,0,1,49,1,1,71.428574
530,0,0,1,71,1,1,
531,1,1,2,41,1,1,71.428574
532,1,0,1,41,1,1,
533,1,1,2,45,1,0,
534,1,1,1,44,1,1,
535,1,1,2,71,0,0,
536,1,0,2,71,0,0,
537,0,0,1,56,1,1,
538,0,0,1,68,1,1,
539,0,0,1,51,0,0,
540,0,0,1,51,1,1,42.857143
542,1,0,1,48,1,1,85.714287
543,1,1,1,74,0,0,
544,1,1,1,56,0,0,85.714287
545,1,1,2,55,0,0,
546,1,1,1,31,1,1,28.57143
548,0,1,1,45,1,1,
550,1,0,1,46,1,1,
551,0,0,1,31,1,1,
552,0,0,1,45,1,1,71.428574
553,1,0,1,31,1,1,
555,1,1,1,37,0,0,42.857143
556,1,0,2,56,0,0,
557,1,1,1,39,1,1,85.714287
559,1,1,1,77,0,0,
560,1,0,1,41,1,1,
563,0,0,1,56,1,1,
564,1,0,1,44,1,1,71.428574
565,0,0,2,35,,,
566,0,0,1,60,1,1,85.714287
568,0,0,1,61,1,1,
569,0,1,2,46,0,0,57.14286
572,1,1,1,69,1,1,
573,0,0,2,49,1,0,
574,0,0,2,33,1,1,
575,1,0,2,61,0,0,
576,1,1,1,57,0,0,42.857143
577,1,1,1,41,1,1,71.428574
578,1,1,1,36,1,1,14.285715
579,1,1,1,45,1,1,71.428574
580,1,1,2,76,,,
581,1,1,2,40,1,1,42.857143
582,1,1,1,64,1,1,
583,0,0,1,55,1,1,
584,1,1,1,48,1,1,71.428574
587,1,1,2,43,1,1,
590,0,0,2,48,0,0,71.428574
591,1,1,1,60,1,1,71.428574
592,0,0,1,57,1,0,71.428574
593,1,1,1,48,1,1,14.285715
594,0,0,1,56,1,1,57.14286
595,1,0,1,76,1,1,
596,1,1,1,46,0,0,71.428574
597,0,0,1,40,0,0,
598,0,0,1,43,1,1,71.428574
599,1,0,1,66,0,0,
602,0,0,1,46,1,1,42.857143
603,1,1,1,32,1,1,85.714287
604,1,1,1,55,1,1,28.57143
605,1,1,1,26,1,1,
607,1,1,1,62,1,1,42.857143
608,0,0,1,51,1,1,85.714287
609,1,1,1,50,0,0,85.714287
610,0,0,1,64,1,1,85.714287
611,0,0,2,66,1,1,
612,1,1,2,52,0,0,0
613,0,1,1,57,0,0,85.714287
